timeStamp,elapsed,label,responseCode,threadName,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname,IdleTime
1424157395646,484,update LMT,200,cosa1 - CI 1-1,true,421,1,1,484,1,0,CI,0
1424157398133,3457,Copy Root File,200,cosa1 - CI 1-1,true,439,1,1,3457,1,0,CI,0
1424157403593,72,Get Fetch Info - Case 13,200,cosa1 - CI 1-1,true,540,1,1,72,1,0,CI,0
1424157405681,87,Get User Home List,200,cosa1 - CI 1-1,true,640,1,1,87,1,0,CI,0
1424157407781,2676,Delete User Home List,200,cosa1 - CI 1-1,true,394,1,1,2676,1,0,CI,0
1424157412462,75,Get Fetch Info - Clean Case 13,200,cosa1 - CI 1-1,true,540,1,1,75,1,0,CI,0
1424157414552,444,update LMT,200,cosa1 - CI 1-1,true,421,1,1,443,1,0,CI,0
1424157416999,1388,Upload Root file,200,cosa1 - CI 1-1,true,641,1,1,1388,1,0,CI,0
1424157420391,432,update LMT,200,cosa1 - CI 1-1,true,421,1,1,432,1,0,CI,0
1424157422827,556,Create Root Folder,200,cosa1 - CI 1-1,true,539,1,1,556,1,0,CI,0
1424157425387,2509,Copy Root File,200,cosa1 - CI 1-1,true,439,1,1,2508,1,0,CI,0
1424157429898,76,Get Fetch Info - Case 14,200,cosa1 - CI 1-1,true,595,1,1,76,1,0,CI,0
1424157431990,80,Get User Home List,200,cosa1 - CI 1-1,true,631,1,1,79,1,0,CI,0
1424157434084,1594,Delete User Home List,200,cosa1 - CI 1-1,true,394,1,1,1594,1,0,CI,0
1424157437682,100,Get Fetch Info - Clean Case 14,200,cosa1 - CI 1-1,true,540,1,1,100,1,0,CI,0
1424157439798,942,Create Root Folder,200,cosa1 - CI 1-1,true,538,1,1,942,1,0,CI,0
1424157442746,892,update LMT,200,cosa1 - CI 1-1,true,421,1,1,891,1,0,CI,0
1424157445641,923,Upload Root file,200,cosa1 - CI 1-1,true,651,1,1,923,1,0,CI,0
1424157448568,487,update LMT,200,cosa1 - CI 1-1,true,421,1,1,487,1,0,CI,0
1424157451059,2891,Copy Root File,200,cosa1 - CI 1-1,true,439,1,1,2891,1,0,CI,0
1424157455953,77,Get Fetch Info - Case 15,200,cosa1 - CI 1-1,true,597,1,1,77,1,0,CI,0
1424157458044,81,Get User Home List,200,cosa1 - CI 1-1,true,633,1,1,81,1,0,CI,0
1424157460139,1556,Delete User Home List,200,cosa1 - CI 1-1,true,394,1,1,1556,1,0,CI,0
1424157463698,87,Get Fetch Info - Clean Case 15,200,cosa1 - CI 1-1,true,540,1,1,87,1,0,CI,0
1424157463801,1323,go homepage,200,cosa1 - CI 1-1,true,62310,1,1,3,1,0,CI,0
1424157465135,138,Fetch user Iris login on Web,200,cosa1 - CI 1-1,true,481,1,1,138,1,0,CI,0
1424157465277,172,Fetch user ccyang login on Web,200,cosa1 - CI 1-1,true,481,1,1,172,1,0,CI,0
1424157465455,20,get Iris profile,200,cosa1 - CI 1-1,true,1276,1,1,20,1,0,CI,0
1424157465479,50,Get Fetch Info - Iris,200,cosa1 - CI 1-1,true,540,1,1,50,1,0,CI,0
1424157465542,27,get ccyang profile,200,cosa1 - CI 1-1,true,1272,1,1,27,1,0,CI,0
1424157465573,73,Get Fetch Info - ccyang,200,cosa1 - CI 1-1,true,541,1,1,73,1,0,CI,0
1424157467661,521,Create Root Folder,200,cosa1 - CI 1-1,true,537,1,1,521,1,0,CI,0
1424157470186,621,Share Root Folder,200,cosa1 - CI 1-1,true,394,1,1,621,1,0,CI,0
1424157472810,86,Get Share list,200,cosa1 - CI 1-1,true,664,1,1,86,1,0,CI,0
1424157474901,477,Agree Share Non Root Folder,200,cosa1 - CI 1-1,true,523,1,1,477,1,0,CI,0
1424157477381,73,Get Fetch Info - Owner - Case 16,200,cosa1 - CI 1-1,true,596,1,1,73,1,0,CI,0
1424157479470,163,Get Fetch Info - NonOwner - Case 16,200,cosa1 - CI 1-1,true,596,1,1,163,1,0,CI,0
1424157481647,2129,Delete Root Folder,200,cosa1 - CI 1-1,true,327,1,1,2129,1,0,CI,0
1424157485779,59,Get Fetch Info - Clean Case 16,200,cosa1 - CI 1-1,true,540,1,1,59,1,0,CI,0
1424157487850,531,Create Root Folder,200,cosa1 - CI 1-1,true,535,1,1,530,1,0,CI,0
1424157490384,533,Create Share Folder,200,cosa1 - CI 1-1,true,546,1,1,533,1,0,CI,0
1424157492921,552,Share Share Folder,200,cosa1 - CI 1-1,true,394,1,1,552,1,0,CI,0
1424157495477,85,Get Share list,200,cosa1 - CI 1-1,true,670,1,1,85,1,0,CI,0
1424157497567,490,Agree Share Non Root Folder,200,cosa1 - CI 1-1,true,531,1,1,490,1,0,CI,0
1424157500061,57,Get Fetch Info - Owner - Case 17,200,cosa1 - CI 1-1,true,635,1,1,57,1,0,CI,0
1424157502132,120,Get Fetch Info - NonOwner - Case 17,200,cosa1 - CI 1-1,true,599,1,1,120,1,0,CI,0
1424157504266,60,Get User Home List,200,cosa1 - CI 1-1,true,546,1,1,60,1,0,CI,0
